epoch,step,test_AUC,test_accuracy,test_accuracy_macro,test_accuracy_normal,test_accuracy_pac,test_accuracy_pvc,test_f1,test_f1_macro,test_f1_normal,test_f1_pac,test_f1_pvc,test_loss,test_ppv,test_ppv_macro,test_ppv_normal,test_ppv_pac,test_ppv_pvc,test_sensitivity,test_sensitivity_macro,test_sensitivity_normal,test_sensitivity_pac,test_sensitivity_pvc,test_specificity,test_specificity_macro,test_specificity_normal,test_specificity_pac,test_specificity_pvc,train_AUC,train_accuracy,train_accuracy_macro,train_accuracy_normal,train_accuracy_pac,train_accuracy_pvc,train_f1,train_f1_macro,train_f1_normal,train_f1_pac,train_f1_pvc,train_loss,train_ppv,train_ppv_macro,train_ppv_normal,train_ppv_pac,train_ppv_pvc,train_sensitivity,train_sensitivity_macro,train_sensitivity_normal,train_sensitivity_pac,train_sensitivity_pvc,train_specificity,train_specificity_macro,train_specificity_normal,train_specificity_pac,train_specificity_pvc,valid_AUC,valid_accuracy,valid_accuracy_macro,valid_accuracy_normal,valid_accuracy_pac,valid_accuracy_pvc,valid_f1,valid_f1_macro,valid_f1_normal,valid_f1_pac,valid_f1_pvc,valid_loss,valid_ppv,valid_ppv_macro,valid_ppv_normal,valid_ppv_pac,valid_ppv_pvc,valid_sensitivity,valid_sensitivity_macro,valid_sensitivity_normal,valid_sensitivity_pac,valid_sensitivity_pvc,valid_specificity,valid_specificity_macro,valid_specificity_normal,valid_specificity_pac,valid_specificity_pvc,phase
0,122.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7164329290390015,0.3927596509456634,0.3927596509456634,0.212802767753601,0.4000000059604645,0.5654761791229248,0.2951955795288086,0.2951955795288086,0.3504273593425751,0.0174481999129056,0.5177111625671387,1.9541685581207275,0.492747038602829,0.492747038602829,0.9919354915618896,0.0089186178520321,0.4773869216442108,0.3927596509456634,0.3927596509456634,0.212802767753601,0.4000000059604645,0.5654761791229248,0.743158757686615,0.743158757686615,0.9893617033958436,0.328549861907959,0.9115646481513976,
0,122.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8367453813552856,0.6662855744361877,0.6662855744361877,0.7900152206420898,0.6844512224197388,0.5243902206420898,0.6647354364395142,0.6647354364395142,0.7918258309364319,0.6495479345321655,0.5528324842453003,0.7330246567726135,0.6654044985771179,0.6654044985771179,0.7936447262763977,0.6180316805839539,0.5845369696617126,0.6662855744361877,0.6662855744361877,0.7900152206420898,0.6844512224197388,0.5243902206420898,0.8331427574157715,0.8331427574157715,0.8972942233085632,0.7884908318519592,0.8136432766914368,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,245.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8881287574768066,0.5546301007270813,0.5546301007270813,0.9567474126815796,0.1000000014901161,0.6071428656578064,0.5602028965950012,0.5602028965950012,0.9555075764656068,0.0606060624122619,0.6644951105117798,0.3401959836483001,0.5771873593330383,0.5771873593330383,0.9542708992958068,0.0434782616794109,0.7338129281997681,0.5546301007270813,0.5546301007270813,0.9567474126815796,0.1000000014901161,0.6071428656578064,0.8844633102416992,0.8844633102416992,0.7180851101875305,0.9667673707008362,0.9685373902320862,
1,245.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8868622779846191,0.7427055239677429,0.7427055239677429,0.8834729790687561,0.7807853817939758,0.563858151435852,0.7378404140472412,0.7378404140472412,0.8549843430519104,0.7381510138511658,0.6203858852386475,0.5959540009498596,0.7392392158508301,0.7392392158508301,0.8282756209373474,0.6999316215515137,0.6895104646682739,0.7427055239677429,0.7427055239677429,0.8834729790687561,0.7807853817939758,0.563858151435852,0.8713865876197815,0.8713865876197815,0.9083110690116882,0.8327300548553467,0.8731186985969543,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,368.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9069241285324096,0.5635483860969543,0.5635483860969543,0.9299308061599731,0.1000000014901161,0.6607142686843872,0.5490294098854065,0.5490294098854065,0.9509066939353944,0.0470588244497776,0.6491228342056274,0.33360755443573,0.5471836924552917,0.5471836924552917,0.9728506803512572,0.0307692307978868,0.6379310488700867,0.5635483860969543,0.5635483860969543,0.9299308061599731,0.1000000014901161,0.6607142686843872,0.9130902886390686,0.9130902886390686,0.8404255509376526,0.9524168968200684,0.9464285969734192,
2,368.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8994919657707214,0.7490306496620178,0.7490306496620178,0.8978658318519592,0.7669717669487,0.5822543501853943,0.7446454167366028,0.7446454167366028,0.8642699718475342,0.7408362627029419,0.6288299560546875,0.562969982624054,0.7443418502807617,0.7443418502807617,0.8330975770950317,0.7164232134819031,0.6835047006607056,0.7490306496620178,0.7490306496620178,0.8978658318519592,0.7669717669487,0.5822543501853943,0.8744940161705017,0.8744940161705017,0.9100610017776488,0.8483809232711792,0.8650400042533875,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,491.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8800556063652039,0.6249478459358215,0.6249478459358215,0.9307958483695984,0.449999988079071,0.494047611951828,0.55760657787323,0.55760657787323,0.9513704776763916,0.1199999973177909,0.6014492511749268,0.4300455451011657,0.6035415530204773,0.6035415530204773,0.9728752374649048,0.0692307725548744,0.7685185074806213,0.6249478459358215,0.6249478459358215,0.9307958483695984,0.449999988079071,0.494047611951828,0.9092590808868408,0.9092590808868408,0.8404255509376526,0.9086102843284608,0.978741466999054,
3,491.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.915074348449707,0.7735010981559753,0.7735010981559753,0.8974847793579102,0.7816311120986938,0.6413872241973877,0.7711488604545593,0.7711488604545593,0.8736783266067505,0.7701839804649353,0.6695842742919922,0.5111754536628723,0.77018141746521,0.77018141746521,0.8511022925376892,0.7590673565864563,0.7003745436668396,0.7735010981559753,0.7735010981559753,0.8974847793579102,0.7816311120986938,0.6413872241973877,0.8867505192756653,0.8867505192756653,0.9214938879013062,0.8759527206420898,0.8628048896789551,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,614.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8542863130569458,0.5420689582824707,0.5420689582824707,0.9809688329696656,0.050000000745058,0.5952380895614624,0.5615601539611816,0.5615601539611816,0.9642857313156128,0.0625,0.6578947305679321,0.2827067673206329,0.5889293551445007,0.5889293551445007,0.9481605291366576,0.0833333358168602,0.7352941036224365,0.5420689582824707,0.5420689582824707,0.9809688329696656,0.050000000745058,0.5952380895614624,0.8770974278450012,0.8770974278450012,0.6702127456665039,0.991691827774048,0.9693877696990968,
4,614.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9256107211112976,0.7989411354064941,0.7989411354064941,0.9165078401565552,0.828125,0.6521904468536377,0.7957164645195007,0.7957164645195007,0.8882320523262024,0.796846330165863,0.702070951461792,0.4794617891311645,0.7965688109397888,0.7965688109397888,0.8616487383842468,0.7678444981575012,0.7602131366729736,0.7989411354064941,0.7989411354064941,0.9165078401565552,0.828125,0.6521904468536377,0.8994519114494324,0.8994519114494324,0.926462173461914,0.8748094439506531,0.8970840573310852,,,,,,,,,,,,,,,,,,,,,,,,,,,,
